publicID,timestamp,probNum,energy,score
0085,20180723061935,FA001,705904,4000
0037,20180723081913,FA001,1060684,3995
0175,20180723091732,FA001,1069774,3995
0140,20180723083313,FA001,1217142,3993
0170,20180723090828,FA001,1283992,3993
0028,20180723095005,FA001,1366166,3992
0012,20180723095148,FA001,1697206,3988
0013,20180723095602,FA001,1633434,3988
0062,20180723094621,FA001,1873600,3986
0107,20180723095330,FA001,1951776,3985
0059,20180723070519,FA001,2435776,3979
0090,20180722214458,FA001,3253392,3969
0030,20180723095752,FA001,3537448,3966
0005,20180723095444,FA001,3766026,3963
0121,20180723095417,FA001,3736756,3963
0044,20180723094545,FA001,3882130,3962
0161,20180723094758,FA001,3922568,3961
0137,20180723092431,FA001,4068298,3959
0036,20180723092837,FA001,4543990,3954
0024,20180722153731,FA001,4664852,3952
0180,20180723012939,FA001,4652196,3952
0115,20180722190523,FA001,4851972,3950
0178,20180723091930,FA001,5763522,3939
0050,20180722234132,FA001,6582070,3929
0048,20180723094313,FA001,7734742,3915
0132,20180723090115,FA001,7792036,3915
0007,20180723084100,FA001,8057344,3912
0158,20180723095059,FA001,8704906,3904
0079,20180723093913,FA001,9631648,3893
0027,20180723070658,FA001,10013280,3888
0128,20180723080032,FA001,10295964,3885
0155,20180723091903,FA001,10957428,3877
0072,20180723093844,FA001,11806260,3867
0093,20180723063706,FA001,11847124,3866
0148,20180722124408,FA001,12000064,3864
0006,20180723065228,FA001,12363884,3860
0029,20180723060713,FA001,13869490,3842
0023,20180723094953,FA001,14839148,3830
0123,20180723094718,FA001,15314414,3825
0106,20180723080808,FA001,15595800,3821
0042,20180721185323,FA001,17109684,3803
0165,20180723094919,FA001,17278324,3801
0145,20180723072812,FA001,18647112,3785
0147,20180723091146,FA001,18807648,3783
0179,20180723092403,FA001,18814660,3783
0046,20180723044609,FA001,19247544,3778
0019,20180722082837,FA001,20592488,3762
0080,20180723091944,FA001,23335612,3729
0017,20180723095025,FA001,23523988,3727
0022,20180723094243,FA001,24076320,3720
0099,20180723094258,FA001,25060960,3708
0173,20180723023324,FA001,25060116,3708
0039,20180722122100,FA001,25895096,3698
0073,20180723065133,FA001,26285656,3694
0067,20180723090345,FA001,26479114,3691
0159,20180721213933,FA001,26639816,3689
0053,20180723081934,FA001,26731798,3688
0071,20180723075909,FA001,27840624,3675
0131,20180723092947,FA001,29620008,3654
0164,20180723012316,FA001,30340092,3645
0154,20180722183554,FA001,30676168,3641
0049,20180723095517,FA001,31267432,3634
0127,20180723023247,FA001,31964296,3626
0096,20180723030327,FA001,32068938,3624
0183,20180723093537,FA001,32357848,3621
0116,20180723074448,FA001,33492124,3607
0185,20180723052809,FA001,34271380,3598
0011,20180723034651,FA001,36052820,3577
0181,20180723051620,FA001,38142700,3552
0182,20180723025201,FA001,38118680,3552
0114,20180723092504,FA001,38238596,3551
0091,20180723055939,FA001,38440308,3548
0031,20180723063332,FA001,39669136,3533
0047,20180722111452,FA001,39827660,3532
0089,20180723084608,FA001,61155540,3276
0108,20180723095034,FA001,65045220,3230
0160,20180723092250,FA001,65710956,3222
