publicID,timestamp,probNum,energy,score
0012,20180721083346,LA002,2615480,4000
0018,20180721095132,LA002,3872388,3969
0028,20180721094619,LA002,6560544,3903
0006,20180721091811,LA002,6608412,3902
0079,20180721093523,LA002,7025364,3891
0022,20180721093642,LA002,7353008,3883
0094,20180721064931,LA002,7833308,3872
0007,20180721082214,LA002,8145816,3864
0019,20180721083313,LA002,8361792,3859
0029,20180721054720,LA002,8337260,3859
0013,20180721061832,LA002,8997352,3843
0050,20180721063856,LA002,9588264,3829
0062,20180720185102,LA002,9971192,3819
0048,20180721094414,LA002,10330220,3811
0017,20180721092555,LA002,10740220,3800
0036,20180721041125,LA002,11144948,3791
0097,20180721054534,LA002,11412388,3784
0122,20180721064302,LA002,12177656,3765
0046,20180721074027,LA002,16053244,3670
0053,20180721070526,LA002,21881220,3528
0098,20180721095607,LA002,22400820,3515
0099,20180721053016,LA002,23519476,3487
0133,20180721093302,LA002,25697340,3434
0130,20180721091824,LA002,31345096,3296
0030,20180721085332,LA002,32241356,3274
0081,20180721091001,LA002,57080712,2665
0117,20180721072349,LA002,78105296,2150
0093,20180721070514,LA002,95338984,1728
0116,20180721075324,LA002,102539476,1552
0070,20180721071550,LA002,108387730,1408
0131,20180721075905,LA002,108540708,1405
0033,20180721025603,LA002,110700424,1352
0011,20180721070005,LA002,116247328,1216
0115,20180721091025,LA002,127021940,952
0080,20180721074251,LA002,130408428,869
0123,20180721093332,LA002,150063728,388
0120,20180721071902,LA002,155537180,253
0008,20180721064700,LA002,165905180,0
0023,20180720222719,LA002,165905180,0
0031,20180721065731,LA002,165905180,0
0032,20180720230259,LA002,165905180,0
0034,20180720191056,LA002,165905180,0
0039,20180720200435,LA002,165905180,0
0044,20180721074701,LA002,165905180,0
0052,20180721082449,LA002,165905180,0
0071,20180720184250,LA002,165905180,0
0077,20180721031358,LA002,165905180,0
0082,20180720212510,LA002,165905180,0
0084,20180720213935,LA002,165905180,0
0102,20180721011906,LA002,165905180,0
0107,20180721083849,LA002,165905180,0
0119,20180721043536,LA002,165905180,0
0129,20180721091526,LA002,165905180,0
0137,20180721091612,LA002,165905180,0
0012,20180721083346,LA003,2444646,4000
0079,20180721093523,LA003,2531760,3997
0013,20180721061832,LA003,4514498,3941
0006,20180721091811,LA003,7882460,3845
0028,20180721094619,LA003,7978972,3842
0107,20180721083849,LA003,8411256,3830
0036,20180721041125,LA003,8578716,3825
0081,20180721091001,LA003,8794900,3819
0122,20180721064302,LA003,8842668,3817
0029,20180721054720,LA003,9083340,3810
0048,20180721094414,LA003,9419444,3801
0007,20180721082214,LA003,9683552,3793
0022,20180721093642,LA003,9851972,3788
0019,20180721083313,LA003,10019924,3784
0094,20180721064931,LA003,10067968,3782
0046,20180721074027,LA003,10645040,3766
0062,20180720185102,LA003,12277780,3719
0093,20180721070514,LA003,12446548,3715
0050,20180721063856,LA003,12736780,3706
0017,20180721092555,LA003,12782796,3705
0011,20180721070005,LA003,12950520,3700
0097,20180721054534,LA003,12998380,3699
0030,20180721085332,LA003,13987864,3671
0053,20180721070526,LA003,14295568,3662
0023,20180720222719,LA003,14343608,3661
0130,20180721091824,LA003,16121240,3610
0133,20180721093302,LA003,21927808,3444
0117,20180721072349,LA003,86746556,1598
0070,20180721071550,LA003,98772378,1255
0131,20180721075905,LA003,121741892,601
0116,20180721075324,LA003,122701880,574
0115,20180721091025,LA003,124382068,526
0033,20180721025603,LA003,127502796,437
0080,20180721074251,LA003,132567376,293
0120,20180721071902,LA003,136167608,190
0098,20180721095607,LA003,141148516,48
0008,20180721064700,LA003,142863608,0
0018,20180721095132,LA003,142863608,0
0031,20180721065731,LA003,142863608,0
0032,20180720230259,LA003,142863608,0
0034,20180720191056,LA003,142863608,0
0039,20180720200435,LA003,142863608,0
0044,20180721074701,LA003,142863608,0
0052,20180721082449,LA003,142863608,0
0071,20180720184250,LA003,142863608,0
0077,20180721031358,LA003,142863608,0
0082,20180720212510,LA003,142863608,0
0084,20180720213935,LA003,142863608,0
0099,20180721053016,LA003,142863608,0
0102,20180721011906,LA003,142863608,0
0119,20180721043536,LA003,142863608,0
0123,20180721093332,LA003,142863608,0
0129,20180721091526,LA003,142863608,0
0137,20180721091612,LA003,142863608,0
0012,20180721083346,LA004,9306060,4000
0022,20180721093642,LA004,20545044,3958
0094,20180721064931,LA004,23091468,3949
0079,20180721093523,LA004,23603692,3947
0007,20180721082214,LA004,24245360,3945
0019,20180721083313,LA004,24773084,3943
0050,20180721063856,LA004,28260348,3930
0017,20180721092555,LA004,34311836,3908
0030,20180721085332,LA004,38259814,3893
0098,20180721095607,LA004,57024580,3824
0028,20180721094619,LA004,59041120,3817
0029,20180721054720,LA004,73394348,3764
0122,20180721064302,LA004,99387176,3668
0006,20180721091811,LA004,103896352,3652
0036,20180721041125,LA004,115202980,3610
0099,20180721053016,LA004,120884292,3589
0048,20180721094414,LA004,121757100,3586
0070,20180721071550,LA004,124258510,3577
0062,20180720185102,LA004,161959844,3438
0081,20180721091001,LA004,184225388,3356
0093,20180721070514,LA004,271999584,3034
0117,20180721072349,LA004,279967552,3005
0116,20180721075324,LA004,286400324,2981
0033,20180721025603,LA004,306803440,2906
0077,20180721031358,LA004,325885160,2836
0011,20180721070005,LA004,332202384,2813
0080,20180721074251,LA004,339233436,2787
0131,20180721075905,LA004,364653820,2693
0053,20180721070526,LA004,397258652,2573
0115,20180721091025,LA004,404736492,2546
0123,20180721093332,LA004,407130940,2537
0130,20180721091824,LA004,472322984,2297
0008,20180721064700,LA004,501231088,2191
0133,20180721093302,LA004,516562924,2135
0120,20180721071902,LA004,1054234212,158
0013,20180721061832,LA004,1097434212,0
0018,20180721095132,LA004,1097434212,0
0023,20180720222719,LA004,1097434212,0
0031,20180721065731,LA004,1097434212,0
0032,20180720230259,LA004,1097434212,0
0034,20180720191056,LA004,1097434212,0
0039,20180720200435,LA004,1097434212,0
0044,20180721074701,LA004,1097434212,0
0046,20180721074027,LA004,1097434212,0
0052,20180721082449,LA004,1097434212,0
0071,20180720184250,LA004,1097434212,0
0082,20180720212510,LA004,1097434212,0
0084,20180720213935,LA004,1097434212,0
0097,20180721054534,LA004,1097434212,0
0102,20180721011906,LA004,1097434212,0
0107,20180721083849,LA004,1097434212,0
0119,20180721043536,LA004,1097434212,0
0129,20180721091526,LA004,1097434212,0
0137,20180721091612,LA004,1097434212,0
0012,20180721083346,LA013,4993312,4000
0018,20180721095132,LA013,17686388,3885
0107,20180721083849,LA013,17711484,3884
0028,20180721094619,LA013,19009424,3873
0022,20180721093642,LA013,19103636,3872
0007,20180721082214,LA013,20353240,3860
0094,20180721064931,LA013,21770256,3848
0019,20180721083313,LA013,22034428,3845
